Data;Campeonato;Estadio;Mandante;Visitante;GOLS_H;GOLS_A;Goleiro;Jog1;Jog2;Jog3;Jog4;Jog5;Jog6;Jog7;Jog8;Jog9;Jog10;Jog11;Jog12;Jog13;Jog14;Jog15;Jog16;Jog17;Jog18;Jog19;Jog20;Jog21;Jog22;Jog23;Jog24;LINK
24/03/1918; Torneio de Inauguração do Campo da Ponte Grande;Ponte Grande; Palestra Italia; Corinthians;4;2; Flosi; Bianco Gambini; Grimaldi; Pedretti; Picagli; Fabbi; Caetano; Ministro; Heitor; Ernesto Imparato; Martinelli; Adolfo Gambini;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180324-palestra-italia-x-sccp-torneio-de-inauguracao-do-campo-da-ponte-grande-1918/
31/03/1918; Amistoso;Ponte Grande; Palestra Italia; Ypiranga;1;0; Primo; Bianco Gambini; Grimaldi; Fabbi; Picagli; Bertolini; Caetano; Ministro; Heitor; Forte; Ernesto Imparato; Adolfo Gambini;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180331-palestra-italia-x-ypiranga-amistoso-1918/
07/04/1918; Campeonato Paulista;Palestra Italia; Palestra Italia; S.C.Internacional (SP);2;1; Flosi; Bianco Gambini; Grimaldi; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Ernesto Imparato; Martinelli; Adolfo Gambini;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180407-palestra-italia-x-s-c-internacional-sp-campeonato-paulista-1918/
21/04/1918; Amistoso;Grêmio Recreativo dos Emp. da Cia. Paulista; Rio Claro; Palestra Italia;1;2; Flosi; Bianco Gambini; Grimaldi; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Ernesto Imparato; Martinelli; Adolfo Gambini;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180421-rio-claro-x-palestra-italia-amistoso-1918/
03/05/1918; Campeonato Paulista;Floresta; Minas Gerais; Palestra Italia;0;5; Flosi; Bianco Gambini; Grimaldi; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Severino; Martinelli; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180503-minas-gerais-x-palestra-italia-campeonato-paulista-1918/
13/05/1918; Campeonato Paulista;Floresta; Palestra Italia; Corinthians;3;3; Flosi; Bianco Gambini; Grimaldi; Bertolini; Picagli; Fabbi; Caetano; Ministro; Heitor; Ernesto Imparato; Martinelli; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180513-palestra-italia-x-sccp-campeonato-paulista-1918/
26/05/1918; Campeonato Paulista;Floresta; Palestra Italia; A.A.das Palmeiras;1;3; Flosi; Bianco Gambini; Arioni; Fabbi; Picagli; Bertolini; Caetano; Ministro; Heitor; Ernesto Imparato; Aldighieri; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180526-palestra-italia-x-a-a-das-palmeiras-campeonato-paulista-1918/
30/05/1918; Amistoso;Floresta; Seleção de Campinas; Palestra Italia;3;4; Flosi; Bianco Gambini; Arioni; Bertolini; Picagli; Fabbi; Caetano; Pedretti; Ernesto Imparato; Heitor; Ministro; Aldighieri; Ardélio Guidi;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180530-selecao-de-campinas-x-palestra-italia-amistoso-1918/
23/06/1918; Campeonato Paulista;Floresta; Palestra Italia; A.A.São Bento;2;3; Flosi; Bianco Gambini; Grimaldi; Simi; Arioni; Fabbi; Caetano; Forte; Heitor; Ernesto Imparato; Aldighieri; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180623-palestra-italia-x-a-a-sao-bento-campeonato-paulista-1918/
30/06/1918; Campeonato Paulista;Jardim América; Paulistano; Palestra Italia;3;1; Flosi; Grimaldi; Bianco Gambini; Bertolini; Arioni; Pedretti; Caetano; Ministro; Heitor; Ernesto Imparato; Aldighieri; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180630-paulistano-x-palestra-italia-campeonato-paulista-1918/
28/07/1918; Amistoso;Palestra Italia; Palestra Italia; SC Americano;3;2; Morlin; Bianco Gambini; Flosi; Bertolini; Picagli; Fabbi; Forte; Caetano; Heitor; Ernesto Imparato; Aldighieri; Ardélio Guidi;;;;;;;;;;;;;;https://www.verdazzo.com.br/jogo/19180728-palestra-italia-x-sc-americano-amistoso-1918/
